"screen_name","user_id","follower_count"
"breakheavy",1323576545936465920,136
"brendanwoodcock",20241150,537
"BrennenHodge",281273191,2445
"briskobaggins",899503829376434176,424
"brn__dmg",1262063053211910144,156
"brnard6880",1349820896379367424,187
"BrockSykes4",1265098386975252480,14
"BrodyHughes_",607819471,1699
"Broy89Nft",1348145519923748864,279
"Brunachox",62365433,257
"BryanBeshore",19974899,634
"bryptoRomi",870384096521969664,57
"bsormagec",177949731,291
"btc_portugal",1444079510392037376,5
"BTC_Village",4689722300,67
"btc201888",1347120847857754112,29
"btc6856789",1346650713368141824,28
"btcbeau",343781210,425
"BTFDAllDay",1003516626145366016,618
"Buck_Rooney",905965691127431168,297
"Budznpunks",61504490,1371
"buffalow1",1111912945540308992,10
"bugduino",364194656,575
"Buhlaque",910507897725087744,1589
"buildNFThings",1436096952555409408,37
"BulbulSikder4",963313067059638272,24
"bullcryptonews1",1375992548808790016,38579
"BullishInsight",1441556178786394112,5
"Buni_OG",881620246137679872,120
"BunzleLFC",365594564,356
"Buradorii0x",1410229441637191680,257
"BurkeEstes",3407293223,420
"burnaway_usc",1149837136343945216,15
"BurnerEthereum",1429789012345118720,50
"bushidoseppuku",1355570924397846528,76
"BusinessComApp",1046393786547548160,39
"BusinessSox764",1306654036322594816,34
"buster",2185,16112
"ButtonheadV",1372232670307049472,1305
"buy_my_crypto",1305144773427302400,35
"BuyMyBags1",1352662068420292608,60
"BuzzYatyear",1430322404841066496,480
"ByKenzo21",514811163,38
"Byteup2",1393236303441956864,76
"Bz_zkb",724709885049495552,262
"bzzzgh",944638881747652608,0
"C0in0p",449307367,489
"C82608666",1378665404118282240,25
"cabotter",146734226,48
"cad6456",1272368889394016256,15
"Caderith1",1.373659716187e+18,8
"cadsenn",808155619429646336,7
"CafeCosmosHQ",1437803824547344384,63
"cagriyalcin93",346731666,557
"CahuaWahyuda",910052932480933888,16
"CairbV",1.423007606831e+18,12
"CaliPnL",925662419292102656,15281
"callme_bones",303566407,348
"callmethreat",558981590,756
"CallumLGreen",176930154,611
"Cam_Dreamin",1432819430300348416,27
"CamaroguyCrypto",1343710390618873856,154
"camaronPistola_",1123738497746132992,11
"camellia_87",229397889,730
"Cameron_Dennis_",3557004079,951
"CameronHuxley10",1354904145749286912,0
"CamesJomey",872096389941141504,360
"camilo38237635",1333779135806705664,34
"campedersen",166318219,695
"CanningTanker",1392400261247770624,32
"CaoArmand",948485618773962752,14426
"Capt_VinnyC",3395499892,85
"CaptSJunior",1412463219222908928,41
"carbonFYI",1300097925763211264,568
"carbonsolo27",1429867434966585344,0
"carla_muc_j",265926465,141
"carlasavani",943556942768889856,116
"carrieannewep",1370427438765838336,50
"carstenscrypto",1392956905144860672,41
"carterwestlund",921071634097643520,131
"cashfrmchaos",1474167470,183
"cashkarma1",1366558966650601472,23
"CashProtocols",4611603072,158
"casperchin0122",1029941951187959808,30
"cassiuscrypto",3814522581,2081
"CastillaApe",1389216458358489088,2654
"cauchyfriend",1236451029673099264,821
"CauztMoon",1078348303429980160,179
"CavsTheBlockFan",1379218595260076032,134
"cbraystone",352032957,62
"ccz12433313_ccz",1331837838170628096,87
"ceb23_",756460824336605184,120
"CederKing",1398420135539621888,2444
"CeeDee_crypto",1426222958163468288,33
"CeeHallooo",1390838056979091456,9
"celebrate_nft",1405902171133054976,688
"celinacrypto",624715192,518
"celot_eth",1389982182127673344,333
"CentennialMiner",1342147009634050048,190
"CentQI",988155027259838464,2194
"ceo_run",723581469092917248,321
"CertifiedClaffy",1216961855136182272,33
"cesaradolfogar5",1119344370799431680,149
"cfchottakes",987045669583011840,157
"CFrogE1",1352080001986932736,812
"CGloverd2",1426133419990388736,0
"chaci_patron",855212342036004864,152
"ChadMeyer_",898304570228649984,629
"ChadMGerber",17447347,97
"ChaelRaiden",943966337046425600,62
"champsmcgavin",945631371841511424,20
"chance_universe",764134452314316800,69
"CharadeCrypto",1122946850,786
"charles_an0n",1138782166853120000,217
"CharlesBoomm",816217739849121792,208
"charliedao_eth",1420716453314052096,58
"charliemktplace",1390484210453028864,609
"ChartCinema",1269779751951982592,193
"ChaseCotton619",954911458206236672,47
"chaselink_",1409183234374701056,145
"ChaseThemRacks",1284476598234886144,117
"chayawassa",1391998991076896768,13870
"chazlauth",1367137641863520256,17
"checkinginmate",770683321021976576,653
"Cheepagrg",1425682323601694720,111
"chejask",1424408096823205888,104
"chentealmanza",1921883209,12
"CHICHIROBOTTO",947969902677254144,386
"Chickencreep1",1332567661364924416,322
"chiefbluofficer",993772732532908032,219
"ChiisanaU",1378264689851916288,9
"ChilledChaos777",1066821446188572672,0
"ChillinCrypto",954793404088627200,80
"chillreader1x",1309754818051715072,626
"chillsauce1",1258000994237063168,210
"ChillyxFtw",966358430616309760,28
